SimulationID,XStripID1,XStripID2,XStripID3,YStripID1,YStripID2,XStripEnergy1,XStripEnergy2,XStripEnergy3,YStripEnergy1,YStripEnergy2,ResultPositionX,ResultPositionY,ResultPositionZ,ResultDirectionX,ResultDirectionY,ResultDirectionZ
157719.0,7.0,8.0,9.0,46.0,47.0,377.44003,1258.0948,1175.967,1989.9539,821.5481,-2.81451,1.70282,-0.42971,0.26863,0.93867,-0.21617
157731.0,7.0,8.0,9.0,21.0,22.0,303.54486,817.3339,2131.9504,1250.3127,2002.5166,-2.78958,-1.0539,-0.37567,0.53106,0.17439,-0.8292
157777.0,40.0,41.0,42.0,53.0,54.0,3322.721,1207.0913,1454.5668,3095.9714,2888.4077,1.25737,2.52744,0.73551,-0.30305,-0.25573,-0.91802
157913.0,6.0,7.0,8.0,29.0,30.0,1733.214,3063.1616,68.10007,1985.2411,2879.2346,-2.73414,-0.23594,-0.04934,-0.50136,0.09364,0.86016
158142.0,42.0,43.0,44.0,39.0,40.0,2354.0051,1357.5591,471.4599,2354.0051,1829.019,1.40131,0.99271,-0.58263,-0.37462,-0.39381,0.83939
158191.0,54.0,55.0,56.0,35.0,36.0,482.65903,1021.57947,2165.5815,721.4527,2948.3674,2.635,0.38402,-0.2309,0.13145,0.83474,0.53473
158213.0,40.0,41.0,42.0,54.0,55.0,1679.8763,829.7999,199.10751,1253.8608,1454.923,0.95906,2.69644,0.48727,0.25365,-0.55998,0.78873
158338.0,24.0,25.0,26.0,61.0,62.0,946.01324,3981.9753,1151.4521,1637.0906,4442.35,-0.80754,3.51341,0.22983,0.80998,-0.23501,0.53731
158420.0,61.0,62.0,63.0,37.0,38.0,1024.7318,1873.9408,626.72565,2077.1213,1448.277,3.63998,0.66074,-0.12517,-0.29229,0.31257,-0.90381
158437.0,47.0,48.0,49.0,44.0,45.0,1063.3551,2563.3694,1210.3864,4708.3037,128.80714,2.00009,1.41738,-0.35445,0.37473,0.20673,0.90379
158483.0,57.0,58.0,59.0,58.0,59.0,364.4374,2580.1228,3784.1716,2282.1592,4446.5728,2.98389,3.02515,-0.18379,0.7293,0.56525,0.3855
158568.0,33.0,34.0,35.0,46.0,47.0,290.27393,834.829,27.71001,264.57486,888.2381,0.21823,1.75557,0.56407,0.17857,0.03189,-0.98341
158613.0,8.0,9.0,10.0,2.0,3.0,9.84979,3146.1782,606.9854,2349.5798,1413.4336,-2.71019,-3.26972,0.20298,0.98729,-0.11315,0.11163
158665.0,11.0,12.0,13.0,47.0,48.0,697.7064,1052.208,1579.1842,1509.7845,1819.3141,-2.4173,1.86439,0.60515,0.57483,0.24504,0.78072
158696.0,44.0,45.0,46.0,62.0,63.0,876.72327,563.19507,107.33561,107.33561,1439.9183,1.59641,3.79806,-0.20732,-0.50314,-0.49496,-0.70842
159128.0,3.0,4.0,5.0,13.0,14.0,703.858,1378.3319,1173.3064,1239.1926,2016.3036,-3.2892,-2.00435,-0.57838,0.56583,-0.79613,0.21452
159176.0,60.0,61.0,62.0,59.0,60.0,216.27861,3359.2114,542.6335,1882.4186,2235.7048,3.55934,3.14581,0.33997,-0.77574,0.62897,0.05116
159199.0,36.0,37.0,38.0,54.0,55.0,730.8399,2047.9259,194.35764,2116.3938,856.7297,0.59279,2.75328,0.57855,-0.16347,-0.44998,-0.87795
159233.0,30.0,31.0,32.0,14.0,15.0,417.65363,2999.6792,355.79608,245.02522,3528.1038,-0.05548,-1.96068,-0.73144,-0.25582,0.08668,0.96283
159283.0,0.0,1.0,2.0,16.0,17.0,366.67935,1711.3658,588.5815,1995.7017,670.925,-3.43519,-1.66332,-0.58025,0.44567,-0.15903,-0.88096
159347.0,60.0,61.0,62.0,7.0,8.0,1785.6503,1884.1704,381.734,798.90076,3252.6538,3.54724,-2.72292,0.27005,-0.97823,0.19909,0.05849
159481.0,17.0,18.0,19.0,41.0,42.0,9.8442,1138.58,934.98004,165.98615,1917.4181,-1.61858,1.13518,-0.6626,0.40778,0.84397,-0.34848
159506.0,15.0,16.0,17.0,18.0,19.0,626.96594,1608.9541,1696.7686,1624.3536,2308.335,-1.6449,-1.6105,0.74376,-0.525,0.83169,0.18075
159609.0,7.0,8.0,9.0,13.0,14.0,152.72203,132.71031,970.19354,132.71031,1122.9156,-2.61188,-1.97275,0.60051,0.37261,-0.53464,-0.7585
159648.0,42.0,43.0,44.0,62.0,63.0,612.69305,1591.179,2310.2527,3644.743,869.38165,1.25195,3.58671,-0.38856,-0.5632,-0.21768,-0.79713
159659.0,19.0,20.0,21.0,56.0,57.0,401.16974,851.55774,82.72584,1252.7275,82.72584,-1.43185,2.8273,-0.67404,0.637,0.1608,0.75391
159701.0,35.0,36.0,37.0,36.0,37.0,1578.8927,1663.5303,833.4704,2001.7964,2074.097,0.3975,0.62636,0.45901,0.55122,-0.37122,-0.74723
159802.0,5.0,6.0,7.0,62.0,63.0,905.5998,2778.5447,637.51715,915.59985,3406.0618,-3.03106,3.5502,0.18569,0.16359,0.17481,0.97092
159813.0,51.0,52.0,53.0,33.0,34.0,245.36731,2489.43,442.13263,2892.4014,284.52853,2.27632,0.22453,0.03846,0.80132,-0.59556,-0.0565
159886.0,49.0,50.0,51.0,56.0,57.0,362.93253,872.52405,2051.4204,353.12094,2933.7559,2.06016,2.85754,-0.50637,0.11189,0.30406,0.94606
159900.0,28.0,29.0,30.0,45.0,46.0,806.16235,2766.3118,1285.5277,1285.5277,3572.474,-0.13816,1.58515,-0.10602,0.58553,0.21874,-0.78058
159904.0,21.0,22.0,23.0,19.0,20.0,133.53728,1836.7645,118.71596,1366.5209,722.4968,-1.01516,-1.42616,-0.69666,-0.9485,-0.31098,0.06027
160041.0,57.0,58.0,59.0,40.0,41.0,164.89137,2377.6611,706.0273,1690.2003,1558.3412,3.15713,1.16218,0.36245,-0.18303,-0.83159,0.52437
160107.0,21.0,22.0,23.0,47.0,48.0,45.8291,870.8657,546.33105,1417.1968,45.8291,-0.98534,1.84148,-0.72156,-0.78472,0.40749,0.46708
160307.0,25.0,26.0,27.0,27.0,28.0,111.0781,2795.367,1373.9944,1100.3711,3180.0684,-0.72183,-0.53151,-0.59834,0.7337,0.06849,0.67602
160310.0,31.0,32.0,33.0,14.0,15.0,199.0505,3578.8132,12.25161,2798.7783,991.3371,0.12595,-1.8547,-0.06351,-0.606,-0.79456,-0.03801
160370.0,11.0,12.0,13.0,54.0,55.0,2762.8228,670.2851,196.85242,1857.6023,1772.358,-2.18406,2.73337,-0.42022,-0.77885,-0.42226,-0.46378
160385.0,42.0,43.0,44.0,16.0,17.0,374.07886,3566.7725,405.0229,3269.622,1076.2522,1.24763,-1.64723,-0.22757,0.34639,-0.28898,0.89247
160392.0,24.0,25.0,26.0,46.0,47.0,860.12683,2450.869,434.54953,2311.1418,1434.4033,-0.76303,1.63007,0.23894,-0.60475,0.3302,0.72474
160580.0,48.0,49.0,50.0,37.0,38.0,523.1697,2242.154,231.6237,1266.7882,1730.1593,2.11089,0.67589,-0.49893,-0.398,0.03598,-0.91668
160609.0,0.0,1.0,2.0,61.0,62.0,404.0932,2346.217,752.9824,991.59424,2510.443,-3.40912,3.5845,-0.40244,-0.1098,0.01591,-0.99383
160654.0,8.0,9.0,10.0,25.0,26.0,1709.0721,1120.5269,1399.9822,743.1689,3486.4124,-2.53566,-0.80515,0.37009,0.20994,0.97281,-0.09783
160850.0,38.0,39.0,40.0,16.0,17.0,2241.5789,1346.8243,247.17957,884.9177,2950.6653,0.8749,-1.7862,-0.32947,-0.29243,0.0033,-0.95628
160905.0,15.0,16.0,17.0,60.0,61.0,1805.0854,1157.2433,365.25806,2613.5059,714.08093,-1.7134,3.45213,-0.46059,-0.55128,-0.8296,0.08863
160980.0,16.0,17.0,18.0,26.0,27.0,222.00107,822.9992,1633.0194,2476.8154,201.20438,-1.62899,-0.68855,-0.29074,0.28105,0.94283,0.17909
160981.0,58.0,59.0,60.0,3.0,4.0,69.01406,1841.8484,526.28595,700.8791,1736.2693,3.33342,-3.20533,0.71547,-0.95271,-0.00286,-0.30388
161107.0,29.0,30.0,31.0,44.0,45.0,1867.2872,730.76013,138.63034,1360.0195,1376.6582,-0.0913,1.56729,0.63941,-0.92755,-0.36303,0.08863
161122.0,9.0,10.0,11.0,22.0,23.0,848.5283,4203.7905,73.43681,1842.0516,3283.704,-2.49783,-1.14866,-0.09274,-0.19021,-0.33931,-0.92124
161239.0,31.0,32.0,33.0,17.0,18.0,802.1003,4156.3394,100.4836,2468.7173,2590.2058,-0.04691,-1.62035,0.51242,0.75375,-0.62074,-0.21576
161327.0,11.0,12.0,13.0,57.0,58.0,1015.28186,821.139,242.76263,1375.7937,703.3898,-2.1448,3.04125,-0.54385,-0.81027,-0.00887,-0.58599
161348.0,60.0,61.0,62.0,55.0,56.0,2600.2642,1893.5331,798.7303,4953.4624,340.4673,3.58757,2.7062,0.65377,-0.73775,-0.03603,-0.67412
